,Precinct,AgeGroup,PerpSex,CrimeCount
0,1,25-44,F,530
1,1,<18,F,74
2,1,65+,M,36
3,1,18-24,F,312
4,1,<18,M,180
5,1,18-24,M,656
6,1,25-44,M,1944
7,1,65+,F,10
8,1,45-64,M,913
9,1,45-64,F,142
10,5,45-64,M,859
11,5,65+,M,35
12,5,25-44,M,2090
13,5,25-44,F,527
14,5,<18,F,70
15,5,65+,F,5
16,5,18-24,M,820
17,5,<18,M,209
18,5,18-24,F,222
19,5,45-64,F,232
20,6,65+,M,34
21,6,25-44,M,1998
22,6,18-24,M,995
23,6,18-24,F,270
24,6,935,M,1
25,6,25-44,F,227
26,6,65+,F,1
27,6,<18,F,87
28,6,45-64,F,82
29,6,<18,M,161
30,6,45-64,M,712
31,7,<18,M,257
32,7,<18,F,49
33,7,45-64,M,461
34,7,25-44,M,1436
35,7,18-24,F,148
36,7,45-64,F,100
37,7,65+,F,6
38,7,25-44,F,329
39,7,925,M,1
40,7,65+,M,27
41,7,18-24,M,782
42,9,45-64,M,658
43,9,25-44,M,1603
44,9,25-44,F,248
45,9,922,M,1
46,9,18-24,M,954
47,9,<18,M,284
48,9,18-24,F,212
49,9,65+,M,39
50,9,65+,F,2
51,9,<18,F,80
52,9,45-64,F,112
53,10,18-24,F,95
54,10,<18,M,94
55,10,65+,M,10
56,10,25-44,M,1598
57,10,<18,F,25
58,10,25-44,F,216
59,10,18-24,M,704
60,10,45-64,F,49
61,10,65+,F,1
62,10,45-64,M,429
63,13,25-44,M,1768
64,13,25-44,F,316
65,13,45-64,F,105
66,13,65+,M,31
67,13,18-24,F,224
68,13,<18,F,53
69,13,931,M,1
70,13,<18,M,149
71,13,18-24,M,772
72,13,65+,F,4
73,13,212,M,1
74,13,45-64,M,754
75,14,25-44,F,1223
76,14,<18,M,574
77,14,65+,M,88
78,14,<18,F,435
79,14,45-64,F,457
80,14,18-24,F,960
81,14,65+,F,11
82,14,25-44,M,5450
83,14,18-24,M,2657
84,14,45-64,M,2663
85,14,895,F,1
86,17,18-24,M,335
87,17,65+,M,19
88,17,<18,M,39
89,17,25-44,M,989
90,17,18-24,F,68
91,17,65+,F,3
92,17,25-44,F,196
93,17,928,M,1
94,17,45-64,M,406
95,17,<18,F,9
96,17,45-64,F,54
97,18,25-44,F,422
98,18,45-64,M,837
99,18,<18,F,67
100,18,936,M,1
101,18,45-64,F,108
102,18,65+,F,5
103,18,18-24,F,321
104,18,18-24,M,856
105,18,25-44,M,2000
106,18,<18,M,189
107,18,65+,M,30
108,19,45-64,M,600
109,19,45-64,F,119
110,19,18-24,F,222
111,19,<18,M,182
112,19,25-44,M,1495
113,19,<18,F,61
114,19,25-44,F,334
115,19,65+,M,36
116,19,65+,F,7
117,19,18-24,M,642
118,20,18-24,M,326
119,20,25-44,M,1015
120,20,18-24,F,88
121,20,<18,M,145
122,20,45-64,F,86
123,20,25-44,F,181
124,20,65+,M,28
125,20,65+,F,4
126,20,<18,F,56
127,20,45-64,M,471
128,22,<18,M,54
129,22,65+,M,6
130,22,45-64,M,150
131,22,25-44,F,22
132,22,<18,F,4
133,22,45-64,F,4
134,22,25-44,M,271
135,22,18-24,F,12
136,22,18-24,M,156
137,23,65+,F,2
138,23,18-24,M,1319
139,23,25-44,F,373
140,23,929,M,1
141,23,25-44,M,2301
142,23,45-64,F,202
143,23,<18,M,457
144,23,<18,F,103
