,Precinct,OfnsDesc,CrimeCount
0,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),4
1,1,ARSON,1
2,1,CRIMINAL TRESPASS,47
3,1,OFFENSES AGAINST PUBLIC SAFETY,13
4,1,THEFT-FRAUD,61
5,1,MOVING INFRACTIONS,5
6,1,OTHER TRAFFIC INFRACTION,373
7,1,GAMBLING,2
8,1,FRAUDS,12
9,1,INTOXICATED & IMPAIRED DRIVING,88
10,1,ANTICIPATORY OFFENSES,1
11,1,CRIMINAL MISCHIEF & RELATED OFFENSES,122
12,1,VEHICLE AND TRAFFIC LAWS,88
13,1,OTHER STATE LAWS (NON PENAL LAW),722
14,1,PETIT LARCENY,165
15,1,FORGERY,168
16,1,BURGLAR'S TOOLS,4
17,1,OTHER STATE LAWS,557
18,1,OFFENSES AGAINST THE PERSON,7
19,1,DANGEROUS DRUGS,107
20,1,HARASSMENT,19
21,1,FORTUNE TELLING,1
22,1,FORCIBLE TOUCHING,8
23,1,BURGLARY,35
24,1,INTOXICATED/IMPAIRED DRIVING,3
25,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,76
26,1,F.C.A. P.I.N.O.S.,10
27,1,DANGEROUS WEAPONS,57
28,1,MISCELLANEOUS PENAL LAW,52
29,1,GRAND LARCENY,151
30,1,POSSESSION OF STOLEN PROPERTY 5,714
31,1,FELONY ASSAULT,53
32,1,MURDER & NON-NEGL. MANSLAUGHTER,3
33,1,POSSESSION OF STOLEN PROPERTY,27
34,1,FRAUDULENT ACCOSTING,9
35,1,ASSAULT 3 & RELATED OFFENSES,141
36,1,HOMICIDE-NEGLIGENT-VEHICLE,1
37,1,ESCAPE 3,1
38,1,SEX CRIMES,8
39,1,DISORDERLY CONDUCT,20
40,1,OTHER STATE LAWS (NON PENAL LA,6
41,1,ALCOHOLIC BEVERAGE CONTROL LAW,10
42,1,HARRASSMENT 2,3
43,1,PROSTITUTION & RELATED OFFENSES,7
44,1,OTHER OFFENSES RELATED TO THEFT,350
45,1,DISRUPTION OF A RELIGIOUS SERVICE,1
46,1,ROBBERY,41
47,1,OFFENSES INVOLVING FRAUD,511
48,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,80
49,1,RAPE,1
50,5,MOVING INFRACTIONS,7
51,5,OTHER OFFENSES RELATED TO THEFT,278
52,5,ARSON,7
53,5,POSSESSION OF STOLEN PROPERTY 5,581
54,5,MISCELLANEOUS PENAL LAW,210
55,5,PROSTITUTION & RELATED OFFENSES,22
56,5,OTHER STATE LAWS,693
57,5,ASSAULT 3 & RELATED OFFENSES,225
58,5,OFFENSES INVOLVING FRAUD,529
59,5,INTOXICATED & IMPAIRED DRIVING,40
60,5,OTHER STATE LAWS (NON PENAL LAW),615
61,5,HARRASSMENT 2,3
62,5,ROBBERY,196
63,5,GAMBLING,25
64,5,PETIT LARCENY,137
65,5,KIDNAPPING & RELATED OFFENSES,11
66,5,THEFT-FRAUD,136
67,5,FRAUDULENT ACCOSTING,3
68,5,CRIMINAL MISCHIEF & RELATED OFFENSES,133
69,5,OTHER TRAFFIC INFRACTION,155
70,5,POSSESSION OF STOLEN PROPERTY,27
71,5,JOSTLING,3
72,5,HARASSMENT,16
73,5,CRIMINAL TRESPASS,126
74,5,FORCIBLE TOUCHING,14
75,5,FELONY ASSAULT,126
76,5,GRAND LARCENY,379
77,5,FRAUDS,16
78,5,OFFENSES AGAINST PUBLIC ADMINISTRATION,164
79,5,RAPE,11
80,5,DISORDERLY CONDUCT,16
81,5,OFFENSES AGAINST THE PERSON,9
82,5,F.C.A. P.I.N.O.S.,172
83,5,DANGEROUS DRUGS,426
84,5,ANTICIPATORY OFFENSES,8
85,5,MURDER & NON-NEGL. MANSLAUGHTER,8
86,5,OTHER STATE LAWS (NON PENAL LA,12
87,5,SEX CRIMES,16
88,5,VEHICLE AND TRAFFIC LAWS,28
89,5,GRAND LARCENY OF MOTOR VEHICLE,3
90,5,LOITERING FOR DRUG PURPOSES,1
91,5,FORGERY,247
92,5,DANGEROUS WEAPONS,69
93,5,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,53
94,5,INTOXICATED/IMPAIRED DRIVING,1
95,5,BURGLAR'S TOOLS,7
96,5,BURGLARY,71
97,5,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
98,6,OFFENSES INVOLVING FRAUD,36
99,6,DANGEROUS DRUGS,1307
100,6,FORGERY,43
101,6,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
102,6,OFFENSES RELATED TO CHILDREN,2
103,6,FRAUDULENT ACCOSTING,7
104,6,MISCELLANEOUS PENAL LAW,60
105,6,HARRASSMENT 2,1
106,6,F.C.A. P.I.N.O.S.,4
107,6,OFFENSES AGAINST THE PERSON,9
108,6,INTOXICATED/IMPAIRED DRIVING,6
109,6,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,124
110,6,OTHER STATE LAWS (NON PENAL LAW),93
111,6,BURGLARY,64
112,6,ROBBERY,160
113,6,ALCOHOLIC BEVERAGE CONTROL LAW,2
114,6,VEHICLE AND TRAFFIC LAWS,22
115,6,POSSESSION OF STOLEN PROPERTY 5,474
116,6,CRIMINAL MISCHIEF & RELATED OFFENSES,105
117,6,FORCIBLE TOUCHING,12
118,6,GAMBLING,5
119,6,PROSTITUTION & RELATED OFFENSES,176
120,6,BURGLAR'S TOOLS,8
121,6,THEFT-FRAUD,9
122,6,OTHER STATE LAWS,404
