,SchoolDist,OfnsDesc,CrimeCount
0,1,RAPE,5
1,1,DANGEROUS DRUGS,1841
2,1,BURGLARY,65
3,1,THEFT-FRAUD,13
4,1,HARASSMENT,35
5,1,PROSTITUTION & RELATED OFFENSES,3
6,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,200
7,1,INTOXICATED & IMPAIRED DRIVING,195
8,1,CRIMINAL TRESPASS,527
9,1,ARSON,2
10,1,FORCIBLE TOUCHING,14
11,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,74
12,1,BURGLAR'S TOOLS,14
13,1,MISCELLANEOUS PENAL LAW,180
14,1,VEHICLE AND TRAFFIC LAWS,174
15,1,MOVING INFRACTIONS,15
16,1,HARRASSMENT 2,2
17,1,FRAUDS,17
18,1,GAMBLING,18
19,1,GRAND LARCENY,155
20,1,ANTICIPATORY OFFENSES,2
21,1,POSSESSION OF STOLEN PROPERTY,20
22,1,OFFENSES AGAINST PUBLIC SAFETY,1
23,1,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
24,1,OTHER STATE LAWS (NON PENAL LA,24
25,1,SEX CRIMES,24
26,1,ROBBERY,110
27,1,PETIT LARCENY,106
28,1,F.C.A. P.I.N.O.S.,13
29,1,DANGEROUS WEAPONS,210
30,1,ASSAULT 3 & RELATED OFFENSES,522
31,1,OFFENSES AGAINST THE PERSON,41
32,1,ALCOHOLIC BEVERAGE CONTROL LAW,8
33,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
34,1,OTHER OFFENSES RELATED TO THEFT,443
35,1,OTHER STATE LAWS (NON PENAL LAW),384
36,1,OFFENSES INVOLVING FRAUD,48
37,1,OTHER TRAFFIC INFRACTION,294
38,1,FORGERY,53
39,1,GRAND LARCENY OF MOTOR VEHICLE,6
40,1,CRIMINAL MISCHIEF & RELATED OFFENSES,307
41,1,MURDER & NON-NEGL. MANSLAUGHTER,9
42,1,OFFENSES RELATED TO CHILDREN,1
43,1,LOITERING FOR DRUG PURPOSES,3
44,1,FELONY ASSAULT,220
45,1,INTOXICATED/IMPAIRED DRIVING,11
46,1,POSSESSION OF STOLEN PROPERTY 5,216
47,1,DISORDERLY CONDUCT,40
48,1,OTHER STATE LAWS,431
49,2,INTOXICATED & IMPAIRED DRIVING,789
50,2,ANTICIPATORY OFFENSES,12
51,2,DANGEROUS WEAPONS,774
52,2,RAPE,24
53,2,BURGLARY,754
54,2,JOSTLING,24
55,2,OFFENSES AGAINST PUBLIC SAFETY,6
56,2,VEHICLE AND TRAFFIC LAWS,738
57,2,MOVING INFRACTIONS,113
58,2,ESCAPE 3,5
59,2,F.C.A. P.I.N.O.S.,342
60,2,ROBBERY,874
61,2,THEFT-FRAUD,358
62,2,OTHER STATE LAWS (NON PENAL LA,103
63,2,FELONY ASSAULT,795
64,2,PROSTITUTION & RELATED OFFENSES,388
65,2,FRAUDULENT ACCOSTING,160
66,2,ADMINISTRATIVE CODE,20
67,2,ARSON,3
68,2,ALCOHOLIC BEVERAGE CONTROL LAW,9
69,2,DISORDERLY CONDUCT,938
70,2,"LOITERING/GAMBLING (CARDS, DICE, ETC)",2
71,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,443
72,2,POSSESSION OF STOLEN PROPERTY,189
73,2,LOITERING FOR DRUG PURPOSES,2
74,2,KIDNAPPING & RELATED OFFENSES,8
75,2,CRIMINAL MISCHIEF & RELATED OF,2
76,2,FORCIBLE TOUCHING,254
77,2,OFFENSES AGAINST THE PERSON,167
78,2,HOMICIDE-NEGLIGENT-VEHICLE,2
79,2,OFFENSES RELATED TO CHILDREN,11
80,2,FRAUDS,272
81,2,SEX CRIMES,159
82,2,HARASSMENT,135
83,2,FORGERY,990
84,2,POSSESSION OF STOLEN PROPERTY 5,7264
85,2,BURGLAR'S TOOLS,87
86,2,OTHER OFFENSES RELATED TO THEFT,5185
87,2,HARRASSMENT 2,34
88,2,OTHER STATE LAWS,5453
89,2,PETIT LARCENY,1683
90,2,OTHER TRAFFIC INFRACTION,1615
91,2,ASSAULT 3 & RELATED OFFENSES,2252
92,2,CRIMINAL TRESPASS,1216
93,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,1373
94,2,OTHER STATE LAWS (NON PENAL LAW),3126
95,2,DANGEROUS DRUGS,5854
96,2,GAMBLING,79
97,2,LOITERING,31
98,2,CHILD ABANDONMENT/NON SUPPORT 1,1
99,2,CRIMINAL MISCHIEF & RELATED OFFENSES,1105
