,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1.0,45-64,F,3613
1,1.0,25-44,M,39596
2,1.0,<18,M,4967
3,1.0,18-24,M,23150
4,1.0,18-24,F,5500
5,1.0,45-64,M,21361
6,1.0,65+,F,167
7,1.0,25-44,F,7620
8,1.0,65+,M,1060
9,1.0,<18,F,1822
10,2.0,45-64,F,2866
11,2.0,<18,F,1887
12,2.0,25-44,F,6801
13,2.0,<18,M,7085
14,2.0,18-24,F,4388
15,2.0,45-64,M,12918
16,2.0,65+,M,487
17,2.0,18-24,M,21850
18,2.0,65+,F,63
19,2.0,25-44,M,31221
20,3.0,65+,F,107
21,3.0,<18,F,2076
22,3.0,45-64,F,3520
23,3.0,65+,M,682
24,3.0,25-44,M,40529
25,3.0,18-24,M,26589
26,3.0,<18,M,8909
27,3.0,18-24,F,5161
28,3.0,45-64,M,17553
29,3.0,25-44,F,8092
30,4.0,45-64,M,9183
31,4.0,18-24,M,17889
32,4.0,<18,F,1190
33,4.0,25-44,F,4721
34,4.0,<18,M,5392
35,4.0,65+,F,98
36,4.0,25-44,M,26735
37,4.0,18-24,F,3199
38,4.0,45-64,F,1827
39,4.0,65+,M,418
40,5.0,<18,F,298
41,5.0,45-64,F,368
42,5.0,<18,M,1030
43,5.0,65+,M,63
44,5.0,25-44,F,1128
45,5.0,45-64,M,1431
46,5.0,25-44,M,4755
47,5.0,18-24,M,3174
48,5.0,18-24,F,762
49,5.0,65+,F,10
