,BoroCode,OfnsDesc,CrimeCount
0,1.0,BURGLAR'S TOOLS,128
1,1.0,MOVING INFRACTIONS,134
2,1.0,OFFENSES INVOLVING FRAUD,1062
3,1.0,BURGLARY,1120
4,1.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1238
5,1.0,OFFENSES RELATED TO CHILDREN,36
6,1.0,DISORDERLY CONDUCT,1353
7,1.0,ALCOHOLIC BEVERAGE CONTROL LAW,230
8,1.0,ESCAPE 3,3
9,1.0,FORGERY,1499
10,1.0,RAPE,117
11,1.0,INTOXICATED & IMPAIRED DRIVING,1713
12,1.0,ROBBERY,2013
13,1.0,DISRUPTION OF A RELIGIOUS SERVICE,3
14,1.0,INTOXICATED/IMPAIRED DRIVING,109
15,1.0,CRIMINAL MISCHIEF & RELATED OFFENSES,2350
16,1.0,PETIT LARCENY,2354
17,1.0,FELONY ASSAULT,2412
18,1.0,OTHER TRAFFIC INFRACTION,1023
19,1.0,FRAUDULENT ACCOSTING,138
20,1.0,PROSTITUTION & RELATED OFFENSES,659
21,1.0,HARASSMENT,527
22,1.0,ARSON,18
23,1.0,LOITERING FOR DRUG PURPOSES,21
24,1.0,FORCIBLE TOUCHING,293
25,1.0,JOSTLING,22
26,1.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",26
27,1.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",7
28,1.0,KIDNAPPING & RELATED OFFENSES,29
29,1.0,GAMBLING,361
30,1.0,DANGEROUS WEAPONS,2485
31,1.0,F.C.A. P.I.N.O.S.,365
32,1.0,SEX CRIMES,385
33,1.0,OTHER STATE LAWS (NON PENAL LA,398
34,1.0,MURDER & NON-NEGL. MANSLAUGHTER,179
35,1.0,THEFT-FRAUD,424
36,1.0,CHILD ABANDONMENT/NON SUPPORT 1,6
37,1.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),168
38,1.0,FRAUDS,468
39,1.0,OFFENSES AGAINST THE PERSON,520
40,1.0,POSSESSION OF STOLEN PROPERTY,375
41,1.0,CHILD ABANDONMENT/NON SUPPORT,2
42,1.0,ADMINISTRATIVE CODE,17
43,1.0,OTHER OFFENSES RELATED TO THEFT,11670
44,1.0,CRIMINAL MISCHIEF & RELATED OF,67
45,1.0,VEHICLE AND TRAFFIC LAWS,5312
46,1.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,3450
47,1.0,GRAND LARCENY OF MOTOR VEHICLE,87
48,1.0,ASSAULT 3 & RELATED OFFENSES,6871
49,1.0,OTHER STATE LAWS (NON PENAL LAW),4437
50,1.0,CRIMINAL TRESPASS,4418
51,1.0,HARRASSMENT 2,73
52,1.0,ANTICIPATORY OFFENSES,37
53,1.0,DANGEROUS DRUGS,21279
54,1.0,POSSESSION OF STOLEN PROPERTY 5,9024
55,1.0,LOITERING,45
56,1.0,FORTUNE TELLING,2
57,1.0,OFFENSES AGAINST PUBLIC SAFETY,52
58,1.0,MISCELLANEOUS PENAL LAW,2815
59,1.0,OTHER STATE LAWS,8830
60,1.0,GRAND LARCENY,2810
61,2.0,DANGEROUS DRUGS,25640
62,2.0,ARSON,30
63,2.0,ALCOHOLIC BEVERAGE CONTROL LAW,57
64,2.0,HARRASSMENT 2,31
65,2.0,HOMICIDE-NEGLIGENT-VEHICLE,2
66,2.0,RAPE,152
67,2.0,LOITERING FOR DRUG PURPOSES,4
68,2.0,FORGERY,746
69,2.0,ANTICIPATORY OFFENSES,4
70,2.0,LOITERING,5
71,2.0,OTHER STATE LAWS (NON PENAL LA,150
72,2.0,VEHICLE AND TRAFFIC LAWS,4972
73,2.0,FORTUNE TELLING,1
74,2.0,OFFENSES AGAINST THE PERSON,502
75,2.0,POSSESSION OF STOLEN PROPERTY,166
76,2.0,JOSTLING,4
77,2.0,SEX CRIMES,424
78,2.0,OFFENSES INVOLVING FRAUD,415
79,2.0,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,1
80,2.0,OTHER OFFENSES RELATED TO THEFT,8352
81,2.0,CHILD ABANDONMENT/NON SUPPORT 1,9
82,2.0,OTHER TRAFFIC INFRACTION,369
83,2.0,ASSAULT 3 & RELATED OFFENSES,10037
84,2.0,FRAUDS,327
85,2.0,MURDER & NON-NEGL. MANSLAUGHTER,318
86,2.0,GRAND LARCENY OF MOTOR VEHICLE,164
87,2.0,OTHER STATE LAWS (NON PENAL LAW),821
88,2.0,HARASSMENT,559
89,2.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",3
90,2.0,FRAUDULENT ACCOSTING,3
91,2.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),123
92,2.0,MOVING INFRACTIONS,122
93,2.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",3
94,2.0,MISCELLANEOUS PENAL LAW,1859
95,2.0,POSSESSION OF STOLEN PROPERTY 5,1961
96,2.0,FORCIBLE TOUCHING,139
97,2.0,KIDNAPPING & RELATED OFFENSES,38
98,2.0,OTHER STATE LAWS,2173
99,2.0,CRIMINAL MISCHIEF & RELATED OFFENSES,2216
100,2.0,CRIMINAL MISCHIEF & RELATED OF,37
101,2.0,DISRUPTION OF A RELIGIOUS SERVICE,2
102,2.0,PETIT LARCENY,2602
103,2.0,ROBBERY,2690
104,2.0,FELONY ASSAULT,3244
105,2.0,INTOXICATED/IMPAIRED DRIVING,83
106,2.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,3468
107,2.0,OFFENSES RELATED TO CHILDREN,39
108,2.0,GAMBLING,197
109,2.0,PROSTITUTION & RELATED OFFENSES,880
110,2.0,INTOXICATED & IMPAIRED DRIVING,904
111,2.0,CRIMINAL TRESPASS,4265
112,2.0,DANGEROUS WEAPONS,4207
113,2.0,GRAND LARCENY,1053
114,2.0,BURGLAR'S TOOLS,36
115,2.0,F.C.A. P.I.N.O.S.,215
116,2.0,THEFT-FRAUD,76
117,2.0,OFF. AGNST PUB ORD SENSBLTY &,1
118,2.0,OFFENSES AGAINST PUBLIC SAFETY,43
119,2.0,DISORDERLY CONDUCT,77
120,2.0,ESCAPE 3,3
121,2.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1379
122,2.0,CHILD ABANDONMENT/NON SUPPORT,3
123,2.0,BURGLARY,852
124,3.0,GRAND LARCENY OF MOTOR VEHICLE,223
125,3.0,OTHER STATE LAWS (NON PENAL LA,209
126,3.0,GAMBLING,230
127,3.0,HARRASSMENT 2,58
128,3.0,CRIMINAL MISCHIEF & RELATED OF,104
129,3.0,KIDNAPPING & RELATED OFFENSES,44
130,3.0,MOVING INFRACTIONS,65
131,3.0,INTOXICATED/IMPAIRED DRIVING,161
132,3.0,THEFT-FRAUD,159
133,3.0,OFFENSES AGAINST PUBLIC SAFETY,40
134,3.0,ALCOHOLIC BEVERAGE CONTROL LAW,126
135,3.0,OFFENSES RELATED TO CHILDREN,112
136,3.0,BURGLAR'S TOOLS,95
137,3.0,FORCIBLE TOUCHING,199
138,3.0,F.C.A. P.I.N.O.S.,149
139,3.0,DANGEROUS DRUGS,27294
140,3.0,OFFENSES INVOLVING FRAUD,244
141,3.0,MURDER & NON-NEGL. MANSLAUGHTER,233
142,3.0,CHILD ABANDONMENT/NON SUPPORT,3
143,3.0,PETIT LARCENY,1627
144,3.0,INTOXICATED & IMPAIRED DRIVING,1685
145,3.0,BURGLARY,1690
146,3.0,GRAND LARCENY,1800
147,3.0,PARKING OFFENSES,3
148,3.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,2719
149,3.0,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,2
150,3.0,"UNDER THE INFLUENCE, DRUGS",1
151,3.0,CRIMINAL MISCHIEF & RELATED OFFENSES,3688
152,3.0,VEHICLE AND TRAFFIC LAWS,3689
153,3.0,CRIMINAL TRESPASS,3704
154,3.0,ROBBERY,3708
155,3.0,OTHER TRAFFIC INFRACTION,3743
156,3.0,POSSESSION OF STOLEN PROPERTY 5,4200
157,3.0,DANGEROUS WEAPONS,4383
158,3.0,MISCELLANEOUS PENAL LAW,4900
159,3.0,FELONY ASSAULT,4918
160,3.0,OTHER OFFENSES RELATED TO THEFT,8475
161,3.0,OTHER STATE LAWS,9283
162,3.0,ASSAULT 3 & RELATED OFFENSES,11225
163,3.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
164,3.0,PROSTITUTION & RELATED OFFENSES,1059
165,3.0,OTHER STATE LAWS (NON PENAL LAW),1043
166,3.0,FORGERY,1249
167,3.0,ARSON,52
168,3.0,JOSTLING,9
169,3.0,OFFENSES AGAINST THE PERSON,411
170,3.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1003
171,3.0,ADMINISTRATIVE CODE,6
172,3.0,CHILD ABANDONMENT/NON SUPPORT 1,9
173,3.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),291
174,3.0,SEX CRIMES,533
175,3.0,FRAUDS,539
176,3.0,FRAUDULENT ACCOSTING,7
177,3.0,POSSESSION OF STOLEN PROPERTY,282
178,3.0,HARASSMENT,549
179,3.0,LOITERING,10
180,3.0,HOMICIDE-NEGLIGENT-VEHICLE,5
181,3.0,DISORDERLY CONDUCT,628
182,3.0,ANTICIPATORY OFFENSES,13
183,3.0,ESCAPE 3,4
184,3.0,RAPE,245
185,3.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",5
186,4.0,CHILD ABANDONMENT/NON SUPPORT 1,12
187,4.0,GAMBLING,43
188,4.0,ARSON,32
189,4.0,HARRASSMENT 2,26
190,4.0,FRAUDULENT ACCOSTING,6
191,4.0,"LOITERING/GAMBLING (CARDS, DICE, ETC)",5
192,4.0,HOMICIDE-NEGLIGENT-VEHICLE,2
193,4.0,ESCAPE 3,3
194,4.0,OFFENSES AGAINST PUBLIC SAFETY,37
195,4.0,ANTICIPATORY OFFENSES,5
196,4.0,JOSTLING,3
197,4.0,PARKING OFFENSES,4
198,4.0,LOITERING,8
199,4.0,LOITERING FOR DRUG PURPOSES,1
200,4.0,MURDER & NON-NEGL. MANSLAUGHTER,202
201,4.0,KIDNAPPING & RELATED OFFENSES,54
202,4.0,POSSESSION OF STOLEN PROPERTY,272
203,4.0,OFFENSES AGAINST THE PERSON,298
204,4.0,F.C.A. P.I.N.O.S.,314
205,4.0,OTHER STATE LAWS (NON PENAL LA,53
206,4.0,GRAND LARCENY OF MOTOR VEHICLE,347
207,4.0,SEX CRIMES,435
208,4.0,HARASSMENT,481
209,4.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,679
210,4.0,DISORDERLY CONDUCT,759
211,4.0,OTHER STATE LAWS (NON PENAL LAW),841
212,4.0,BURGLARY,1109
213,4.0,FORGERY,1258
214,4.0,PETIT LARCENY,1403
215,4.0,PROSTITUTION & RELATED OFFENSES,1418
216,4.0,FRAUDS,263
217,4.0,GRAND LARCENY,1492
218,4.0,ROBBERY,2134
219,4.0,CRIMINAL TRESPASS,2156
220,4.0,INTOXICATED & IMPAIRED DRIVING,2218
221,4.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,2655
222,4.0,OTHER OFFENSES RELATED TO THEFT,2719
223,4.0,FELONY ASSAULT,2836
224,4.0,CRIMINAL MISCHIEF & RELATED OFFENSES,2931
225,4.0,DANGEROUS WEAPONS,3178
226,4.0,MISCELLANEOUS PENAL LAW,3182
227,4.0,POSSESSION OF STOLEN PROPERTY 5,3367
228,4.0,VEHICLE AND TRAFFIC LAWS,4161
229,4.0,OTHER STATE LAWS,4519
230,4.0,ASSAULT 3 & RELATED OFFENSES,7574
231,4.0,DANGEROUS DRUGS,11694
232,4.0,OTHER TRAFFIC INFRACTION,1546
233,4.0,INTOXICATED/IMPAIRED DRIVING,242
234,4.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),316
235,4.0,BURGLAR'S TOOLS,130
236,4.0,OFFENSES INVOLVING FRAUD,194
237,4.0,RAPE,195
238,4.0,MOVING INFRACTIONS,196
239,4.0,THEFT-FRAUD,155
240,4.0,FORCIBLE TOUCHING,152
241,4.0,ALCOHOLIC BEVERAGE CONTROL LAW,76
242,4.0,CRIMINAL MISCHIEF & RELATED OF,62
243,4.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
244,4.0,OFFENSES RELATED TO CHILDREN,131
245,5.0,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),122
246,5.0,FORGERY,109
247,5.0,CRIMINAL MISCHIEF & RELATED OF,3
248,5.0,OTHER STATE LAWS (NON PENAL LAW),36
249,5.0,OFFENSES AGAINST THE PERSON,93
250,5.0,POSSESSION OF STOLEN PROPERTY,38
251,5.0,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,89
252,5.0,ASSAULT 3 & RELATED OFFENSES,1737
253,5.0,ESCAPE 3,2
254,5.0,OFFENSES AGAINST PUBLIC SAFETY,19
255,5.0,GRAND LARCENY OF MOTOR VEHICLE,82
256,5.0,OTHER OFFENSES RELATED TO THEFT,130
257,5.0,SEX CRIMES,79
258,5.0,HARRASSMENT 2,2
259,5.0,FRAUDS,77
260,5.0,KIDNAPPING & RELATED OFFENSES,2
261,5.0,DANGEROUS DRUGS,3335
262,5.0,PROSTITUTION & RELATED OFFENSES,44
263,5.0,HARASSMENT,64
264,5.0,F.C.A. P.I.N.O.S.,50
265,5.0,OTHER STATE LAWS,61
266,5.0,RAPE,39
267,5.0,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",2
268,5.0,FORCIBLE TOUCHING,31
269,5.0,PETIT LARCENY,206
270,5.0,ALCOHOLIC BEVERAGE CONTROL LAW,16
271,5.0,BURGLARY,248
272,5.0,ARSON,12
273,5.0,OTHER TRAFFIC INFRACTION,199
274,5.0,DISORDERLY CONDUCT,10
275,5.0,INTOXICATED/IMPAIRED DRIVING,23
276,5.0,ROBBERY,301
277,5.0,OTHER STATE LAWS (NON PENAL LA,9
278,5.0,GRAND LARCENY,315
279,5.0,BURGLAR'S TOOLS,6
280,5.0,OFFENSES INVOLVING FRAUD,35
281,5.0,CRIMINAL TRESPASS,359
282,5.0,THEFT-FRAUD,30
283,5.0,FELONY ASSAULT,544
284,5.0,CRIMINAL MISCHIEF & RELATED OFFENSES,563
285,5.0,MOVING INFRACTIONS,5
286,5.0,DANGEROUS WEAPONS,582
287,5.0,MISCELLANEOUS PENAL LAW,596
288,5.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,606
289,5.0,MURDER & NON-NEGL. MANSLAUGHTER,30
290,5.0,POSSESSION OF STOLEN PROPERTY 5,803
291,5.0,VEHICLE AND TRAFFIC LAWS,839
292,5.0,INTOXICATED & IMPAIRED DRIVING,433
293,5.0,LOITERING FOR DRUG PURPOSES,1
