,Precinct,PerpRace,CrimeCount
0,1,WHITE HISPANIC,879
1,1,BLACK,2129
2,1,BLACK HISPANIC,188
3,1,UNKNOWN,64
4,1,ASIAN / PACIFIC ISLANDER,351
5,1,WHITE,1051
6,1,AMERICAN INDIAN/ALASKAN NATIVE,14
7,5,BLACK HISPANIC,318
8,5,UNKNOWN,80
9,5,BLACK,2366
10,5,AMERICAN INDIAN/ALASKAN NATIVE,14
11,5,WHITE HISPANIC,1347
12,5,ASIAN / PACIFIC ISLANDER,853
13,5,WHITE,1068
14,6,WHITE,1126
15,6,BLACK,2100
16,6,AMERICAN INDIAN/ALASKAN NATIVE,6
17,6,UNKNOWN,73
18,6,ASIAN / PACIFIC ISLANDER,176
19,6,BLACK HISPANIC,219
20,6,WHITE HISPANIC,776
21,7,WHITE HISPANIC,1107
22,7,AMERICAN INDIAN/ALASKAN NATIVE,5
23,7,UNKNOWN,49
24,7,BLACK,1129
25,7,WHITE,570
26,7,ASIAN / PACIFIC ISLANDER,201
27,7,BLACK HISPANIC,307
28,9,BLACK HISPANIC,310
29,9,WHITE,884
30,9,BLACK,1353
31,9,UNKNOWN,56
32,9,AMERICAN INDIAN/ALASKAN NATIVE,10
33,9,WHITE HISPANIC,1116
34,9,ASIAN / PACIFIC ISLANDER,197
35,10,BLACK HISPANIC,197
36,10,WHITE,800
37,10,ASIAN / PACIFIC ISLANDER,119
38,10,WHITE HISPANIC,740
39,10,UNKNOWN,42
40,10,BLACK,1204
41,10,AMERICAN INDIAN/ALASKAN NATIVE,5
42,13,WHITE HISPANIC,1237
43,13,BLACK HISPANIC,396
44,13,BLACK,2497
45,13,WHITE,1203
46,13,UNKNOWN,76
47,13,AMERICAN INDIAN/ALASKAN NATIVE,9
48,13,ASIAN / PACIFIC ISLANDER,223
49,14,ASIAN / PACIFIC ISLANDER,779
50,14,UNKNOWN,276
51,14,BLACK HISPANIC,919
52,14,WHITE HISPANIC,3278
53,14,WHITE,2380
54,14,AMERICAN INDIAN/ALASKAN NATIVE,31
55,14,BLACK,7210
56,17,AMERICAN INDIAN/ALASKAN NATIVE,5
57,17,BLACK,583
58,17,ASIAN / PACIFIC ISLANDER,199
59,17,WHITE,566
60,17,BLACK HISPANIC,99
61,17,WHITE HISPANIC,481
62,17,UNKNOWN,36
63,18,BLACK HISPANIC,349
64,18,UNKNOWN,125
65,18,ASIAN / PACIFIC ISLANDER,405
66,18,WHITE,1417
67,18,AMERICAN INDIAN/ALASKAN NATIVE,15
68,18,WHITE HISPANIC,1263
69,18,BLACK,2657
70,19,WHITE HISPANIC,666
71,19,ASIAN / PACIFIC ISLANDER,174
72,19,UNKNOWN,62
73,19,BLACK HISPANIC,173
74,19,AMERICAN INDIAN/ALASKAN NATIVE,5
75,19,WHITE,815
76,19,BLACK,1059
77,20,ASIAN / PACIFIC ISLANDER,135
78,20,UNKNOWN,38
79,20,BLACK,840
80,20,BLACK HISPANIC,199
81,20,WHITE,545
82,20,WHITE HISPANIC,484
83,20,AMERICAN INDIAN/ALASKAN NATIVE,8
84,22,WHITE,129
85,22,BLACK,114
86,22,ASIAN / PACIFIC ISLANDER,12
87,22,WHITE HISPANIC,105
88,22,UNKNOWN,11
89,22,BLACK HISPANIC,23
90,23,BLACK HISPANIC,641
91,23,AMERICAN INDIAN/ALASKAN NATIVE,4
92,23,ASIAN / PACIFIC ISLANDER,88
93,23,BLACK,2552
94,23,UNKNOWN,67
95,23,WHITE,289
96,23,WHITE HISPANIC,1861
97,24,BLACK,1352
98,24,WHITE HISPANIC,678
99,24,UNKNOWN,19
100,24,WHITE,440
101,24,AMERICAN INDIAN/ALASKAN NATIVE,6
102,24,BLACK HISPANIC,289
103,24,ASIAN / PACIFIC ISLANDER,59
104,25,WHITE,656
105,25,WHITE HISPANIC,2460
106,25,BLACK,5507
107,25,BLACK HISPANIC,855
108,25,AMERICAN INDIAN/ALASKAN NATIVE,10
109,25,ASIAN / PACIFIC ISLANDER,94
110,25,UNKNOWN,107
111,26,AMERICAN INDIAN/ALASKAN NATIVE,5
112,26,ASIAN / PACIFIC ISLANDER,44
113,26,BLACK,1576
114,26,UNKNOWN,29
115,26,WHITE HISPANIC,578
116,26,BLACK HISPANIC,256
117,26,WHITE,201
118,28,BLACK,4070
119,28,UNKNOWN,44
120,28,BLACK HISPANIC,325
121,28,WHITE HISPANIC,698
122,28,AMERICAN INDIAN/ALASKAN NATIVE,5
123,28,ASIAN / PACIFIC ISLANDER,37
124,28,WHITE,242
125,30,BLACK HISPANIC,713
126,30,AMERICAN INDIAN/ALASKAN NATIVE,7
127,30,ASIAN / PACIFIC ISLANDER,38
128,30,WHITE HISPANIC,1177
129,30,WHITE,199
130,30,UNKNOWN,55
131,30,BLACK,1943
132,32,WHITE,132
133,32,AMERICAN INDIAN/ALASKAN NATIVE,3
134,32,BLACK,4181
135,32,UNKNOWN,52
136,32,ASIAN / PACIFIC ISLANDER,53
137,32,WHITE HISPANIC,567
138,32,BLACK HISPANIC,327
139,33,AMERICAN INDIAN/ALASKAN NATIVE,5
140,33,ASIAN / PACIFIC ISLANDER,33
141,33,WHITE,328
142,33,UNKNOWN,53
143,33,BLACK HISPANIC,1332
144,33,BLACK,1235
145,33,WHITE HISPANIC,1877
146,34,UNKNOWN,51
147,34,ASIAN / PACIFIC ISLANDER,42
148,34,WHITE,382
149,34,AMERICAN INDIAN/ALASKAN NATIVE,1
150,34,BLACK,801
151,34,BLACK HISPANIC,1922
152,34,WHITE HISPANIC,2594
153,40,WHITE HISPANIC,4717
154,40,BLACK HISPANIC,2066
155,40,ASIAN / PACIFIC ISLANDER,76
156,40,UNKNOWN,120
157,40,AMERICAN INDIAN/ALASKAN NATIVE,9
158,40,BLACK,5379
159,40,WHITE,351
160,41,ASIAN / PACIFIC ISLANDER,39
161,41,BLACK HISPANIC,1170
162,41,BLACK,3369
163,41,AMERICAN INDIAN/ALASKAN NATIVE,6
164,41,UNKNOWN,46
165,41,WHITE HISPANIC,2522
166,41,WHITE,267
167,42,WHITE HISPANIC,1881
168,42,AMERICAN INDIAN/ALASKAN NATIVE,2
169,42,BLACK,3525
170,42,BLACK HISPANIC,780
171,42,UNKNOWN,38
172,42,ASIAN / PACIFIC ISLANDER,18
173,42,WHITE,117
174,43,AMERICAN INDIAN/ALASKAN NATIVE,27
175,43,UNKNOWN,215
176,43,WHITE,182
177,43,BLACK,3392
178,43,BLACK HISPANIC,1186
179,43,WHITE HISPANIC,3012
180,43,ASIAN / PACIFIC ISLANDER,184
181,44,AMERICAN INDIAN/ALASKAN NATIVE,5
182,44,WHITE HISPANIC,3439
183,44,BLACK HISPANIC,1906
184,44,ASIAN / PACIFIC ISLANDER,55
185,44,WHITE,343
186,44,UNKNOWN,118
187,44,BLACK,4958
188,45,UNKNOWN,51
189,45,WHITE HISPANIC,964
190,45,AMERICAN INDIAN/ALASKAN NATIVE,13
191,45,BLACK HISPANIC,353
192,45,BLACK,1043
193,45,ASIAN / PACIFIC ISLANDER,45
194,45,WHITE,535
195,46,BLACK HISPANIC,1594
196,46,WHITE HISPANIC,2743
197,46,BLACK,3406
198,46,ASIAN / PACIFIC ISLANDER,58
199,46,WHITE,160
200,46,UNKNOWN,119
201,46,AMERICAN INDIAN/ALASKAN NATIVE,10
202,47,BLACK,4696
203,47,WHITE HISPANIC,1005
204,47,WHITE,242
205,47,UNKNOWN,62
206,47,ASIAN / PACIFIC ISLANDER,86
207,47,BLACK HISPANIC,463
208,47,AMERICAN INDIAN/ALASKAN NATIVE,12
209,48,BLACK,2681
210,48,BLACK HISPANIC,1121
211,48,UNKNOWN,73
212,48,AMERICAN INDIAN/ALASKAN NATIVE,8
213,48,WHITE,301
214,48,WHITE HISPANIC,2514
215,48,ASIAN / PACIFIC ISLANDER,26
216,49,WHITE,475
217,49,BLACK,1784
218,49,BLACK HISPANIC,451
219,49,WHITE HISPANIC,1324
220,49,AMERICAN INDIAN/ALASKAN NATIVE,11
221,49,ASIAN / PACIFIC ISLANDER,91
222,49,UNKNOWN,107
223,50,WHITE HISPANIC,799
224,50,ASIAN / PACIFIC ISLANDER,25
225,50,WHITE,297
226,50,BLACK HISPANIC,429
227,50,AMERICAN INDIAN/ALASKAN NATIVE,4
228,50,BLACK,535
229,50,UNKNOWN,34
230,52,BLACK,3205
231,52,UNKNOWN,114
232,52,BLACK HISPANIC,1690
233,52,WHITE,566
234,52,AMERICAN INDIAN/ALASKAN NATIVE,13
235,52,WHITE HISPANIC,3685
236,52,ASIAN / PACIFIC ISLANDER,107
237,60,BLACK HISPANIC,177
238,60,UNKNOWN,27
239,60,ASIAN / PACIFIC ISLANDER,139
240,60,AMERICAN INDIAN/ALASKAN NATIVE,12
241,60,BLACK,1823
242,60,WHITE,1559
243,60,WHITE HISPANIC,933
244,61,WHITE,1892
245,61,ASIAN / PACIFIC ISLANDER,120
246,61,BLACK,722
247,61,BLACK HISPANIC,76
248,61,AMERICAN INDIAN/ALASKAN NATIVE,3
249,61,WHITE HISPANIC,481
250,61,UNKNOWN,37
251,62,BLACK,263
252,62,BLACK HISPANIC,101
253,62,UNKNOWN,26
254,62,WHITE HISPANIC,821
255,62,ASIAN / PACIFIC ISLANDER,324
256,62,AMERICAN INDIAN/ALASKAN NATIVE,8
257,62,WHITE,1404
258,63,ASIAN / PACIFIC ISLANDER,80
259,63,WHITE,528
260,63,AMERICAN INDIAN/ALASKAN NATIVE,6
261,63,BLACK HISPANIC,54
