,SchoolDist,AgeGroup,PerpSex,CrimeCount
0,1,<18,M,195
1,1,45-64,F,126
2,1,18-24,M,1156
3,1,18-24,F,332
4,1,65+,F,10
5,1,45-64,M,765
6,1,25-44,M,2341
7,1,65+,M,38
8,1,<18,F,44
9,1,25-44,F,518
10,2,45-64,F,1262
11,2,25-44,F,3351
12,2,65+,F,93
13,2,65+,M,429
14,2,25-44,M,16391
15,2,<18,M,1208
16,2,18-24,M,7447
17,2,45-64,M,7729
18,2,18-24,F,2179
19,2,<18,F,567
20,3,<18,M,301
21,3,25-44,F,575
22,3,45-64,M,1733
23,3,18-24,M,1261
24,3,25-44,M,2679
25,3,18-24,F,318
26,3,45-64,F,303
27,3,65+,F,19
28,3,65+,M,76
29,3,<18,F,85
30,4,45-64,F,244
31,4,18-24,M,1630
32,4,65+,F,9
33,4,25-44,F,612
34,4,65+,M,67
35,4,18-24,F,403
36,4,<18,M,369
37,4,45-64,M,1418
38,4,<18,F,98
39,4,25-44,M,3064
40,5,45-64,F,382
41,5,25-44,M,5000
42,5,18-24,F,540
43,5,25-44,F,1027
44,5,65+,M,109
45,5,<18,F,172
46,5,<18,M,417
47,5,45-64,M,2592
48,5,18-24,M,2184
49,5,65+,F,14
50,6,65+,F,7
51,6,45-64,M,1647
52,6,45-64,F,246
53,6,18-24,M,2812
54,6,25-44,M,4891
55,6,<18,M,496
56,6,65+,M,91
57,6,<18,F,80
58,6,18-24,F,404
59,6,25-44,F,789
60,7,25-44,F,960
61,7,<18,M,750
62,7,45-64,F,267
63,7,65+,M,71
64,7,18-24,F,510
65,7,<18,F,142
66,7,65+,F,2
67,7,25-44,M,4783
68,7,18-24,M,2565
69,7,45-64,M,1800
70,8,18-24,F,605
71,8,18-24,M,2726
72,8,25-44,F,968
73,8,<18,F,170
74,8,65+,M,50
75,8,65+,F,6
76,8,45-64,F,313
77,8,<18,M,737
78,8,45-64,M,1441
79,8,25-44,M,4164
80,9,65+,F,11
81,9,<18,M,770
82,9,25-44,M,5422
83,9,18-24,F,560
84,9,65+,M,76
85,9,45-64,F,363
86,9,25-44,F,973
87,9,<18,F,153
88,9,45-64,M,2186
89,9,18-24,M,3211
90,10,65+,F,12
91,10,65+,M,96
92,10,45-64,M,2017
93,10,<18,M,937
94,10,18-24,M,3382
95,10,25-44,F,1194
96,10,45-64,F,369
97,10,25-44,M,5870
98,10,18-24,F,668
99,10,<18,F,159
100,11,<18,M,667
101,11,18-24,M,2290
102,11,45-64,M,1450
103,11,45-64,F,281
104,11,25-44,F,897
105,11,65+,F,8
106,11,25-44,M,4115
107,11,18-24,F,544
108,11,<18,F,188
109,11,65+,M,69
110,12,25-44,F,548
111,12,65+,M,49
112,12,45-64,F,240
113,12,65+,F,4
114,12,<18,M,458
115,12,18-24,F,332
116,12,25-44,M,2791
117,12,45-64,M,1104
118,12,<18,F,109
119,12,18-24,M,1640
120,13,45-64,F,388
121,13,18-24,F,540
122,13,<18,M,523
123,13,65+,M,100
124,13,25-44,M,3772
125,13,<18,F,180
126,13,65+,F,16
127,13,18-24,M,1932
128,13,45-64,M,1790
129,13,25-44,F,885
130,14,45-64,F,145
131,14,18-24,M,1340
132,14,<18,F,62
133,14,65+,F,3
134,14,<18,M,293
135,14,45-64,M,1122
136,14,18-24,F,249
137,14,65+,M,51
138,14,25-44,F,482
139,14,25-44,M,2708
140,15,25-44,F,651
141,15,45-64,M,1239
142,15,18-24,F,297
143,15,65+,F,14
144,15,18-24,M,1616
145,15,45-64,F,235
