,Precinct,OfnsDesc,CrimeCount
0,1,CRIMINAL MISCHIEF & RELATED OFFENSES,223
1,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,129
2,1,POSSESSION OF STOLEN PROPERTY,16
3,1,RAPE,2
4,1,THEFT-FRAUD,6
5,1,SEX CRIMES,17
6,1,DANGEROUS WEAPONS,47
7,1,MISCELLANEOUS PENAL LAW,47
8,1,OTHER TRAFFIC INFRACTION,80
9,1,DANGEROUS DRUGS,239
10,1,OFFENSES INVOLVING FRAUD,53
11,1,OTHER OFFENSES RELATED TO THEFT,361
12,1,ASSAULT 3 & RELATED OFFENSES,230
13,1,GRAND LARCENY OF MOTOR VEHICLE,5
14,1,FRAUDULENT ACCOSTING,14
15,1,FRAUDS,22
16,1,FELONY ASSAULT,62
17,1,OTHER STATE LAWS,112
18,1,ALCOHOLIC BEVERAGE CONTROL LAW,5
19,1,OFFENSES AGAINST THE PERSON,12
20,1,PETIT LARCENY,754
21,1,OFFENSES AGAINST PUBLIC SAFETY,5
22,1,BURGLARY,76
23,1,INTOXICATED & IMPAIRED DRIVING,71
24,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),3
25,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,30
26,1,GRAND LARCENY,314
27,1,KIDNAPPING & RELATED OFFENSES,1
28,1,POSSESSION OF STOLEN PROPERTY 5,9
29,1,PROSTITUTION & RELATED OFFENSES,9
30,1,F.C.A. P.I.N.O.S.,9
31,1,FORGERY,100
32,1,ADMINISTRATIVE CODE,8
33,1,VEHICLE AND TRAFFIC LAWS,182
34,1,HARRASSMENT 2,1
35,1,ROBBERY,40
36,1,OFF. AGNST PUB ORD SENSBLTY &,16
37,1,ENDAN WELFARE INCOMP,1
38,1,MOVING INFRACTIONS,3
39,1,CRIMINAL TRESPASS,100
40,1,MURDER & NON-NEGL. MANSLAUGHTER,3
41,1,FORCIBLE TOUCHING,13
42,1,CRIMINAL MISCHIEF & RELATED OF,6
43,1,OTHER STATE LAWS (NON PENAL LAW),257
44,1,NEW YORK CITY HEALTH CODE,4
45,1,JOSTLING,5
46,1,BURGLAR'S TOOLS,46
47,1,DISORDERLY CONDUCT,33
48,1,INTOXICATED/IMPAIRED DRIVING,1
49,5,FRAUDS,17
50,5,RAPE,2
51,5,ENDAN WELFARE INCOMP,2
52,5,DANGEROUS DRUGS,542
53,5,GRAND LARCENY,546
54,5,OTHER STATE LAWS (NON PENAL LAW),94
