,SchoolDist,PerpRace,CrimeCount
0,1,BLACK,1852
1,1,UNKNOWN,70
2,1,WHITE,1059
3,1,WHITE HISPANIC,1859
4,1,ASIAN / PACIFIC ISLANDER,222
5,1,AMERICAN INDIAN/ALASKAN NATIVE,15
6,1,BLACK HISPANIC,448
7,2,AMERICAN INDIAN/ALASKAN NATIVE,97
8,2,BLACK HISPANIC,2494
9,2,ASIAN / PACIFIC ISLANDER,2509
10,2,BLACK,18128
11,2,WHITE HISPANIC,8694
12,2,UNKNOWN,556
13,2,WHITE,8178
14,3,ASIAN / PACIFIC ISLANDER,191
15,3,WHITE,988
16,3,BLACK HISPANIC,642
17,3,UNKNOWN,70
18,3,WHITE HISPANIC,1420
19,3,BLACK,4023
20,3,AMERICAN INDIAN/ALASKAN NATIVE,16
21,4,BLACK HISPANIC,864
22,4,AMERICAN INDIAN/ALASKAN NATIVE,8
23,4,UNKNOWN,67
24,4,WHITE HISPANIC,2550
25,4,WHITE,479
26,4,ASIAN / PACIFIC ISLANDER,111
27,4,BLACK,3835
28,5,ASIAN / PACIFIC ISLANDER,111
29,5,BLACK HISPANIC,870
30,5,WHITE,584
31,5,AMERICAN INDIAN/ALASKAN NATIVE,17
32,5,UNKNOWN,113
33,5,WHITE HISPANIC,2057
34,5,BLACK,8685
35,6,UNKNOWN,132
36,6,AMERICAN INDIAN/ALASKAN NATIVE,12
37,6,BLACK,2943
38,6,ASIAN / PACIFIC ISLANDER,135
39,6,BLACK HISPANIC,3165
40,6,WHITE,675
41,6,WHITE HISPANIC,4401
42,7,UNKNOWN,45
43,7,BLACK,5439
44,7,BLACK HISPANIC,1735
45,7,WHITE,329
46,7,AMERICAN INDIAN/ALASKAN NATIVE,10
47,7,ASIAN / PACIFIC ISLANDER,40
48,7,WHITE HISPANIC,4252
49,8,WHITE,612
50,8,BLACK HISPANIC,1626
51,8,ASIAN / PACIFIC ISLANDER,102
52,8,BLACK,4885
53,8,AMERICAN INDIAN/ALASKAN NATIVE,12
54,8,UNKNOWN,92
55,8,WHITE HISPANIC,3851
56,9,UNKNOWN,103
57,9,WHITE,343
58,9,BLACK HISPANIC,2297
59,9,AMERICAN INDIAN/ALASKAN NATIVE,5
60,9,ASIAN / PACIFIC ISLANDER,86
61,9,BLACK,6553
62,9,WHITE HISPANIC,4338
63,10,BLACK HISPANIC,3096
64,10,WHITE,683
65,10,WHITE HISPANIC,5633
66,10,BLACK,5009
67,10,UNKNOWN,118
68,10,AMERICAN INDIAN/ALASKAN NATIVE,17
69,10,ASIAN / PACIFIC ISLANDER,148
70,11,BLACK HISPANIC,949
71,11,UNKNOWN,177
72,11,WHITE,620
73,11,ASIAN / PACIFIC ISLANDER,206
74,11,BLACK,6179
75,11,WHITE HISPANIC,2360
76,11,AMERICAN INDIAN/ALASKAN NATIVE,18
77,12,AMERICAN INDIAN/ALASKAN NATIVE,13
78,12,BLACK,3420
79,12,WHITE,177
80,12,ASIAN / PACIFIC ISLANDER,61
81,12,WHITE HISPANIC,2502
82,12,UNKNOWN,59
83,12,BLACK HISPANIC,1043
84,13,AMERICAN INDIAN/ALASKAN NATIVE,20
85,13,BLACK,7227
86,13,UNKNOWN,57
87,13,BLACK HISPANIC,412
88,13,WHITE HISPANIC,1305
89,13,ASIAN / PACIFIC ISLANDER,213
90,13,WHITE,892
91,14,BLACK,2613
92,14,ASIAN / PACIFIC ISLANDER,150
93,14,UNKNOWN,66
94,14,AMERICAN INDIAN/ALASKAN NATIVE,6
95,14,WHITE,973
96,14,BLACK HISPANIC,631
97,14,WHITE HISPANIC,2016
98,15,UNKNOWN,70
99,15,AMERICAN INDIAN/ALASKAN NATIVE,15
100,15,ASIAN / PACIFIC ISLANDER,461
101,15,WHITE HISPANIC,2585
102,15,WHITE,1177
103,15,BLACK HISPANIC,719
104,15,BLACK,2829
105,16,AMERICAN INDIAN/ALASKAN NATIVE,4
106,16,ASIAN / PACIFIC ISLANDER,70
107,16,WHITE,161
108,16,BLACK HISPANIC,164
109,16,BLACK,4354
110,16,UNKNOWN,18
111,16,WHITE HISPANIC,496
112,17,WHITE HISPANIC,775
113,17,BLACK,8814
114,17,WHITE,490
115,17,BLACK HISPANIC,299
116,17,ASIAN / PACIFIC ISLANDER,105
117,17,UNKNOWN,74
118,17,AMERICAN INDIAN/ALASKAN NATIVE,6
119,18,AMERICAN INDIAN/ALASKAN NATIVE,13
120,18,WHITE,137
121,18,UNKNOWN,38
122,18,BLACK HISPANIC,128
123,18,BLACK,4746
124,18,WHITE HISPANIC,248
125,18,ASIAN / PACIFIC ISLANDER,62
126,19,ASIAN / PACIFIC ISLANDER,237
127,19,WHITE HISPANIC,1970
128,19,AMERICAN INDIAN/ALASKAN NATIVE,29
129,19,BLACK,7199
130,19,UNKNOWN,46
131,19,WHITE,283
132,19,BLACK HISPANIC,588
133,20,WHITE,2582
134,20,AMERICAN INDIAN/ALASKAN NATIVE,33
135,20,BLACK,530
136,20,UNKNOWN,123
137,20,BLACK HISPANIC,353
