BoroCode,AgeGroup,PerpSex,CrimeCount
1,<18,M,1060
1,25-44,M,15251
1,18-24,F,1197
1,45-64,M,6384
1,65+,F,73
1,45-64,F,931
1,<18,F,218
1,65+,M,375
1,18-24,M,4758
1,25-44,F,3200
2,18-24,F,1223
2,<18,M,1226
2,65+,M,319
2,25-44,F,3095
2,45-64,M,4716
2,45-64,F,931
2,18-24,M,5822
2,65+,F,39
2,25-44,M,14905
2,<18,F,271
3,<18,F,256
3,65+,M,381
3,65+,F,60
3,45-64,F,1036
3,25-44,M,17386
3,18-24,F,1329
3,<18,M,1412
3,18-24,M,6538
3,25-44,F,3349
3,45-64,M,5975
4,45-64,M,4875
4,25-44,M,13618
4,<18,M,996
4,18-24,F,1082
4,45-64,F,838
4,65+,M,366
4,25-44,F,2894
4,65+,F,62
4,18-24,M,5095
4,<18,F,154
5,65+,M,54
5,45-64,M,1078
5,<18,M,195
5,18-24,F,239
5,<18,F,39
5,25-44,M,2678
5,25-44,F,703
5,18-24,M,1012
5,45-64,F,178
5,65+,F,19
