Precinct,AgeGroup,PerpSex,CrimeCount
1,18-24,F,73
1,25-44,M,592
1,45-64,M,264
1,18-24,M,266
1,<18,M,31
1,45-64,F,33
1,25-44,F,117
1,<18,F,19
1,65+,M,13
5,25-44,F,147
5,<18,M,46
5,45-64,M,381
5,65+,F,7
5,65+,M,20
5,18-24,M,273
5,45-64,F,63
5,<18,F,8
5,25-44,M,1205
5,18-24,F,49
6,<18,F,16
6,18-24,F,61
6,<18,M,82
6,25-44,M,784
6,18-24,M,244
6,45-64,M,383
6,65+,M,16
6,25-44,F,182
6,45-64,F,39
7,45-64,F,27
7,25-44,F,150
7,25-44,M,653
7,<18,F,10
7,18-24,F,39
7,<18,M,28
7,65+,M,16
7,18-24,M,160
7,45-64,M,181
7,65+,F,3
9,45-64,F,31
9,65+,F,4
9,25-44,M,584
9,<18,F,3
9,18-24,M,186
9,<18,M,61
9,25-44,F,142
9,18-24,F,47
9,65+,M,15
9,45-64,M,204
10,45-64,F,22
10,65+,F,3
10,25-44,F,105
10,25-44,M,643
10,18-24,F,32
10,18-24,M,131
10,45-64,M,188
10,<18,F,4
10,65+,M,11
10,<18,M,36
13,18-24,F,78
13,<18,F,39
13,25-44,F,152
13,25-44,M,761
13,45-64,M,324
13,65+,M,31
13,65+,F,1
13,45-64,F,41
13,18-24,M,227
13,<18,M,97
14,25-44,M,1283
14,<18,M,40
14,65+,M,32
14,<18,F,10
14,18-24,M,461
14,25-44,F,328
14,45-64,M,689
14,45-64,F,93
14,18-24,F,102
14,65+,F,9
17,65+,F,1
17,45-64,M,184
17,25-44,M,406
17,65+,M,9
17,<18,F,2
17,<18,M,47
17,25-44,F,76
17,45-64,F,14
17,18-24,F,29
17,18-24,M,101
18,18-24,F,90
18,65+,F,6
18,45-64,M,348
18,65+,M,18
18,<18,F,12
18,45-64,F,50
18,25-44,F,187
18,<18,M,64
18,18-24,M,300
18,25-44,M,826
19,45-64,M,352
19,25-44,M,651
19,18-24,M,150
19,45-64,F,68
19,<18,F,21
19,18-24,F,25
19,25-44,F,140
19,65+,F,2
19,<18,M,62
19,65+,M,19
20,<18,F,1
20,65+,M,9
20,<18,M,17
20,18-24,M,102
20,25-44,F,40
20,45-64,F,28
20,65+,F,2
20,18-24,F,14
20,45-64,M,205
20,25-44,M,330
22,25-44,M,23
22,18-24,M,14
22,25-44,F,5
22,<18,F,1
22,65+,M,2
22,45-64,F,1
22,45-64,M,4
23,25-44,M,807
23,65+,F,8
23,18-24,F,72
23,45-64,M,327
23,<18,F,14
23,45-64,F,65
23,25-44,F,215
23,18-24,M,339
23,65+,M,20
23,<18,M,71
24,25-44,F,133
24,65+,M,16
24,65+,F,4
24,<18,M,32
24,45-64,F,39
24,18-24,F,39
24,45-64,M,295
24,25-44,M,556
24,18-24,M,117
24,<18,F,2
25,18-24,M,317
25,65+,M,27
25,25-44,M,1345
25,<18,M,52
25,65+,F,2
25,45-64,M,655
25,<18,F,15
25,18-24,F,96
25,45-64,F,65
25,25-44,F,215
26,25-44,M,414
26,<18,M,63
26,65+,M,7
26,18-24,M,193
26,18-24,F,44
26,45-64,M,164
26,25-44,F,97
26,<18,F,7
26,65+,F,4
26,45-64,F,23
28,25-44,F,156
28,18-24,F,41
28,25-44,M,626
28,<18,M,26
28,45-64,F,47
28,65+,F,2
28,18-24,M,171
28,45-64,M,334
28,65+,M,21
28,<18,F,5
30,45-64,F,34
30,65+,M,17
30,<18,M,59
30,45-64,M,182
30,<18,F,5
30,18-24,F,31
