BoroCode,PerpRace,CrimeCount
1,BLACK,16832
1,BLACK HISPANIC,3332
1,AMERICAN INDIAN/ALASKAN NATIVE,65
1,WHITE HISPANIC,8076
1,WHITE,4069
1,ASIAN / PACIFIC ISLANDER,919
1,UNKNOWN,154
2,BLACK HISPANIC,5434
2,ASIAN / PACIFIC ISLANDER,492
2,UNKNOWN,169
2,WHITE,1140
2,WHITE HISPANIC,9830
2,AMERICAN INDIAN/ALASKAN NATIVE,60
2,BLACK,15422
3,AMERICAN INDIAN/ALASKAN NATIVE,93
3,UNKNOWN,125
3,BLACK,22367
3,ASIAN / PACIFIC ISLANDER,1520
3,BLACK HISPANIC,1745
3,WHITE HISPANIC,6879
3,WHITE,4993
4,BLACK HISPANIC,1422
4,BLACK,11915
4,WHITE HISPANIC,8572
4,AMERICAN INDIAN/ALASKAN NATIVE,140
4,ASIAN / PACIFIC ISLANDER,4311
4,WHITE,3449
4,UNKNOWN,171
5,BLACK HISPANIC,226
5,ASIAN / PACIFIC ISLANDER,231
5,BLACK,2427
5,WHITE,2051
5,WHITE HISPANIC,1209
5,UNKNOWN,34
5,AMERICAN INDIAN/ALASKAN NATIVE,17
