SchoolDist,PerpRace,CrimeCount
1,WHITE HISPANIC,738
1,ASIAN / PACIFIC ISLANDER,67
1,BLACK,876
1,BLACK HISPANIC,206
1,UNKNOWN,7
1,WHITE,270
1,AMERICAN INDIAN/ALASKAN NATIVE,7
2,BLACK,7906
2,AMERICAN INDIAN/ALASKAN NATIVE,38
2,ASIAN / PACIFIC ISLANDER,623
2,BLACK HISPANIC,1153
2,UNKNOWN,98
2,WHITE,2939
2,WHITE HISPANIC,3208
3,AMERICAN INDIAN/ALASKAN NATIVE,4
3,BLACK HISPANIC,219
3,WHITE HISPANIC,625
3,UNKNOWN,10
3,WHITE,338
3,ASIAN / PACIFIC ISLANDER,68
3,BLACK,1771
4,ASIAN / PACIFIC ISLANDER,53
4,WHITE HISPANIC,973
4,BLACK HISPANIC,297
4,WHITE,118
4,BLACK,1730
4,AMERICAN INDIAN/ALASKAN NATIVE,2
4,UNKNOWN,7
5,WHITE,206
5,BLACK,3303
5,AMERICAN INDIAN/ALASKAN NATIVE,9
5,WHITE HISPANIC,953
5,ASIAN / PACIFIC ISLANDER,62
5,BLACK HISPANIC,402
5,UNKNOWN,14
6,BLACK HISPANIC,1009
6,ASIAN / PACIFIC ISLANDER,45
6,BLACK,1200
6,WHITE,188
6,UNKNOWN,15
6,WHITE HISPANIC,1491
6,AMERICAN INDIAN/ALASKAN NATIVE,5
7,BLACK,2571
7,WHITE,136
7,UNKNOWN,34
7,AMERICAN INDIAN/ALASKAN NATIVE,4
7,WHITE HISPANIC,1783
7,ASIAN / PACIFIC ISLANDER,45
7,BLACK HISPANIC,796
8,ASIAN / PACIFIC ISLANDER,107
8,BLACK HISPANIC,824
8,WHITE,248
8,WHITE HISPANIC,1744
8,BLACK,2225
8,AMERICAN INDIAN/ALASKAN NATIVE,20
8,UNKNOWN,17
9,BLACK,3190
9,ASIAN / PACIFIC ISLANDER,32
9,BLACK HISPANIC,1273
9,WHITE HISPANIC,1790
9,AMERICAN INDIAN/ALASKAN NATIVE,3
9,WHITE,114
9,UNKNOWN,20
10,ASIAN / PACIFIC ISLANDER,102
10,WHITE,342
10,UNKNOWN,47
10,BLACK,2880
10,WHITE HISPANIC,2580
10,AMERICAN INDIAN/ALASKAN NATIVE,11
10,BLACK HISPANIC,1650
11,BLACK HISPANIC,519
11,BLACK,3284
11,WHITE,246
11,AMERICAN INDIAN/ALASKAN NATIVE,15
11,WHITE HISPANIC,1128
11,ASIAN / PACIFIC ISLANDER,161
11,UNKNOWN,38
12,BLACK,1318
12,BLACK HISPANIC,418
12,AMERICAN INDIAN/ALASKAN NATIVE,7
12,ASIAN / PACIFIC ISLANDER,46
12,WHITE HISPANIC,893
12,UNKNOWN,16
12,WHITE,64
13,ASIAN / PACIFIC ISLANDER,89
13,UNKNOWN,19
13,AMERICAN INDIAN/ALASKAN NATIVE,7
13,BLACK HISPANIC,200
13,WHITE,377
13,BLACK,3430
13,WHITE HISPANIC,626
14,AMERICAN INDIAN/ALASKAN NATIVE,3
14,UNKNOWN,8
14,BLACK,1002
14,WHITE HISPANIC,617
14,BLACK HISPANIC,151
14,ASIAN / PACIFIC ISLANDER,39
14,WHITE,314
15,ASIAN / PACIFIC ISLANDER,259
15,BLACK HISPANIC,264
15,UNKNOWN,21
15,WHITE HISPANIC,1220
15,WHITE,538
15,AMERICAN INDIAN/ALASKAN NATIVE,12
15,BLACK,1226
16,BLACK,2068
16,WHITE,90
16,WHITE HISPANIC,212
16,BLACK HISPANIC,70
16,AMERICAN INDIAN/ALASKAN NATIVE,3
16,UNKNOWN,2
16,ASIAN / PACIFIC ISLANDER,46
17,UNKNOWN,8
17,BLACK HISPANIC,146
17,BLACK,3324
17,ASIAN / PACIFIC ISLANDER,59
17,AMERICAN INDIAN/ALASKAN NATIVE,8
17,WHITE HISPANIC,309
17,WHITE,162
18,BLACK HISPANIC,34
18,UNKNOWN,3
18,BLACK,1883
18,ASIAN / PACIFIC ISLANDER,12
18,WHITE,45
18,WHITE HISPANIC,129
18,AMERICAN INDIAN/ALASKAN NATIVE,1
19,AMERICAN INDIAN/ALASKAN NATIVE,5
19,WHITE,73
19,UNKNOWN,13
19,ASIAN / PACIFIC ISLANDER,78
19,BLACK HISPANIC,221
19,WHITE HISPANIC,707
19,BLACK,2773
20,UNKNOWN,16
20,BLACK,347
20,WHITE HISPANIC,998
20,WHITE,1167
20,AMERICAN INDIAN/ALASKAN NATIVE,32
20,ASIAN / PACIFIC ISLANDER,477
20,BLACK HISPANIC,179
21,UNKNOWN,9
21,AMERICAN INDIAN/ALASKAN NATIVE,10
21,BLACK,1139
21,WHITE,1344
21,ASIAN / PACIFIC ISLANDER,231
21,BLACK HISPANIC,126
21,WHITE HISPANIC,640
22,UNKNOWN,15
22,WHITE HISPANIC,397
22,AMERICAN INDIAN/ALASKAN NATIVE,8
22,WHITE,703
22,BLACK HISPANIC,84
22,ASIAN / PACIFIC ISLANDER,186
22,BLACK,2255
23,UNKNOWN,6
23,ASIAN / PACIFIC ISLANDER,16
23,BLACK,2190
23,WHITE,35
23,WHITE HISPANIC,244
23,BLACK HISPANIC,94
24,BLACK,617
24,BLACK HISPANIC,329
24,WHITE,768
24,AMERICAN INDIAN/ALASKAN NATIVE,27
24,WHITE HISPANIC,2676
